cardid,carddefid,name,description,abilities,cost,power,category,source,use_count,connected_cards,PrimaryColor,SecondaryColor,RingColor,CardSeriesDefId,SeriesStartDates,wasAddedIn,wasChangedIn,stats_winrate,stats_cuberate,share_win,share_loss,share_cube_won,share_cube_lost,share_cube_earned,share_total,stats_win,stats_loss,stats_cube_won,stats_cube_lost,stats_position,stats_winrate_played,stats_cuberate_played,art_base
abomination,Abomination,Abomination,"<i>""Foolish rabble! You are beneath me!""</i>",[],5,9,Irradiated,Starter Card,435,[],#d0ffa2,#f0ff95,#d0ffa2,Starter,"[{""Data"": ""Starter"", ""StartDate"": -62135596800}]",,,0.5675282125955587,0.4074990899162723,0.05341199525835783,0.04490848195722354,0.056157402250194936,0.04854427208384659,0.1172883487007544,0.04936918155350275,7795.0,5940.0,24198.0,18601.0,53.0,0.5807397383852052,0.5277401894451962,https://static.marvelsnap.pro/cards/Abomination.webp
absorbingman,AbsorbingMan,Absorbing Man,"<b>On Reveal:</b> If the last card you played has an <b>On Reveal</b>, copy its text. <i>(if it's in play)</i>","[""On Reveal"", ""Change Ability""]",4,4,,Pool 3 (Collection Level 486-?),353,[],#ffc09c,#000000,#ffffff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,19.18.3,0.5313751668891856,0.16905874499332446,0.04363407130278674,0.042458928395920435,0.043381697671828014,0.043496983109589334,0.04245599329421626,0.04307537471694045,6368.0,5616.0,18693.0,16667.0,66.0,0.5608499678042499,0.3174500965872505,https://static.marvelsnap.pro/cards/AbsorbingMan.webp
adamwarlock,AdamWarlock,Adam Warlock,"At the end of each turn, if you are winning this location, draw a card.","[""Card Draw""]",2,0,Guardians Vol. 2,Pool 3 (Collection Level 486-?),67,[],#ffc53c,#ff281e,#ffc53c,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4565055762081784,-0.07211895910780669,0.004207179613679501,0.005526616213927678,0.004344435780327504,0.005138630811950644,-0.002032690695725063,0.004834477552927646,614.0,731.0,1872.0,1969.0,210.0,0.4621212121212121,-0.12229437229437227,https://static.marvelsnap.pro/cards/AdamWarlock.webp
aero,Aero,Aero,<b>On Reveal:</b> Move the last enemy card played this turn to this location.,"[""Move""]",5,8,Elemental Masters,Pool 3 (Collection Level 486-?),230,[],#d9ecff,#31a8ff,#d9ecff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5151661049590756,0.11298346974803405,0.021995189836988917,0.022839818854002072,0.02213527162006609,0.02305467983381005,0.014752724224643757,0.02239675065597929,3210.0,3021.0,9538.0,8834.0,118.0,0.5194494314781568,0.12118491921005388,https://static.marvelsnap.pro/cards/Aero.webp
agathaharkness,AgathaHarkness,Agatha Harkness,Agatha starts in your hand and plays your cards for you.,"[""Start In Hand"", ""Play Hand""]",6,14,Masters of Mysticism,Pool 3 (Collection Level 486-?),70,[],#ff1952,#4e1cff,#256cff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.3905674281503316,-0.4399410464259396,0.018158022762623245,0.031262049308605946,0.012959043481489732,0.022363091634131572,-0.06255238893545684,0.02438805219079113,2650.0,4135.0,5584.0,8569.0,110.0,0.4653665097511769,-0.3080026899798252,https://static.marvelsnap.pro/cards/AgathaHarkness.webp
agent13,Agent13,Agent 13,<b>On Reveal:</b> Add a random card to your hand.,"[""On Reveal"", ""Add Card to Hand"", ""Add Card""]",1,2,S.H.I.E.L.D.,Pool 2 (Collection Level 222-486),635,[],#ffffff,#ffe084,#ffffff,Series2,"[{""Data"": ""Series2"", ""StartDate"": -62135596800}]",,,0.5048500223847187,0.033875540964035215,0.04636120075921092,0.0501704859037265,0.04835041402101667,0.05318704720546172,0.009513830678960604,0.048172243988354124,6766.0,6636.0,20834.0,20380.0,56.0,0.5007020007020007,0.016935766935766934,https://static.marvelsnap.pro/cards/Agent13.webp
agentcoulson,AgentCoulson,Agent Coulson,<b>On Reveal:</b> Add a random 4-Cost and 5-Cost card to your hand.,"[""On Reveal"", ""Add Card to Hand"", ""Add Card""]",3,4,,Pool 3 (Collection Level 486-?),440,[],#3030ff,#ffffff,#3131ff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5178985829259862,0.0918876215869254,0.07187150971968125,0.07381926226099841,0.07017006423823846,0.0740521327014218,0.03899832355406538,0.07279752704791345,10489.0,9764.0,30236.0,28375.0,26.0,0.513909224011713,0.06493411420204978,https://static.marvelsnap.pro/cards/AgentCoulson.webp
alioth,Alioth,Alioth,<b>On Reveal:</b> Destroy ALL enemy cards played here this turn. <i>(including unrevealed cards)</i>,,6,5,,Pool 5 (Series 5),853,[],#8d00ff,#5900ff,#ff0004,Series5,"[{""Data"": ""Series5"", ""StartDate"": 1694487600}]",,18.17.3,0.5329055566040279,0.23687687039982744,0.13543829355698536,0.13098307237523532,0.13661997326501055,0.13070495020564962,0.18411567476948867,0.13332015384062398,19766.0,17325.0,58869.0,50083.0,9.0,0.5767659423293268,0.6205814435431346,https://static.marvelsnap.pro/cards/Alioth.webp
americachavez,AmericaChavez,America Chavez,Starts on the bottom of your deck. Draw this on turn 6.,"[""Draw Card On Round""]",6,9,Ultimates,Pool 1 (Collection Level 18-214),1860,[],#257cff,#ff3030,#257cff,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5425622229109677,0.2648465819509763,0.2758854605628302,0.2566436579999849,0.2891556199175671,0.27387414660625925,0.41186085498742653,0.2667373566730168,40263.0,33946.0,124596.0,104942.0,0.0,0.5284335098100279,0.19925256929305515,https://static.marvelsnap.pro/cards/AmericaChavez.webp
angel,Angel,Angel,"When one of your cards is destroyed, this flies out of your deck to replace it.","[""Destroy""]",1,2,Original X-Men,Pool 1 (Collection Level 18-214),131,[],#fffefe,#ff1919,#fffefe,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.4811715481171548,-0.055788005578800565,0.0023639690011717064,0.002812450385199858,0.002601555827856373,0.0030299392446291,-0.0008382229673093043,0.002577189892527228,345.0,372.0,1121.0,1161.0,224.0,0.4939209726443769,0.0243161094224924,https://static.marvelsnap.pro/cards/Angel.webp
