,cardid,carddefid,name,description,abilities,cost,power,category,source,use_count,connected_cards,PrimaryColor,SecondaryColor,RingColor,CardSeriesDefId,SeriesStartDates,wasAddedIn,wasChangedIn,stats_winrate,stats_cuberate,share_win,share_loss,share_cube_won,share_cube_lost,share_cube_earned,share_total,stats_win,stats_loss,stats_cube_won,stats_cube_lost,stats_position,stats_winrate_played,stats_cuberate_played,art_base
0,abomination,Abomination,Abomination,Foolish rabble! You are beneath me!,[],5,9,Irradiated,Starter Card,435,[],#d0ffa2,#f0ff95,#d0ffa2,Starter,"[{""Data"": ""Starter"", ""StartDate"": -62135596800}]",,,0.5675282125955587,0.4074990899162723,0.0534119952583578,0.0449084819572235,0.0561574022501949,0.0485442720838465,0.1172883487007544,0.0493691815535027,7795.0,5940.0,24198.0,18601.0,53.0,0.5807397383852052,0.5277401894451962,https://static.marvelsnap.pro/cards/Abomination.webp
1,absorbingman,AbsorbingMan,Absorbing Man,"On Reveal: If the last card you played has an On Reveal, copy its text. (if it's in play)","[""On Reveal"", ""Change Ability""]",4,4,,Pool 3 (Collection Level 486-?),353,[],#ffc09c,#000000,#ffffff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,19.18.3,0.5313751668891856,0.1690587449933244,0.0436340713027867,0.0424589283959204,0.043381697671828,0.0434969831095893,0.0424559932942162,0.0430753747169404,6368.0,5616.0,18693.0,16667.0,66.0,0.5608499678042499,0.3174500965872505,https://static.marvelsnap.pro/cards/AbsorbingMan.webp
2,adamwarlock,AdamWarlock,Adam Warlock,"At the end of each turn, if you are winning this location, draw a card.","[""Card Draw""]",2,0,Guardians Vol. 2,Pool 3 (Collection Level 486-?),67,[],#ffc53c,#ff281e,#ffc53c,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4565055762081784,-0.0721189591078066,0.0042071796136795,0.0055266162139276,0.0043444357803275,0.0051386308119506,-0.002032690695725,0.0048344775529276,614.0,731.0,1872.0,1969.0,210.0,0.4621212121212121,-0.1222943722943722,https://static.marvelsnap.pro/cards/AdamWarlock.webp
3,aero,Aero,Aero,On Reveal: Move the last enemy card played this turn to this location.,"[""Move""]",5,8,Elemental Masters,Pool 3 (Collection Level 486-?),230,[],#d9ecff,#31a8ff,#d9ecff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5151661049590756,0.112983469748034,0.0219951898369889,0.022839818854002,0.022135271620066,0.02305467983381,0.0147527242246437,0.0223967506559792,3210.0,3021.0,9538.0,8834.0,118.0,0.5194494314781568,0.1211849192100538,https://static.marvelsnap.pro/cards/Aero.webp
4,agathaharkness,AgathaHarkness,Agatha Harkness,Agatha starts in your hand and plays your cards for you.,"[""Start In Hand"", ""Play Hand""]",6,14,Masters of Mysticism,Pool 3 (Collection Level 486-?),70,[],#ff1952,#4e1cff,#256cff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.3905674281503316,-0.4399410464259396,0.0181580227626232,0.0312620493086059,0.0129590434814897,0.0223630916341315,-0.0625523889354568,0.0243880521907911,2650.0,4135.0,5584.0,8569.0,110.0,0.4653665097511769,-0.3080026899798252,https://static.marvelsnap.pro/cards/AgathaHarkness.webp
5,agent13,Agent13,Agent 13,On Reveal: Add a random card to your hand.,"[""On Reveal"", ""Add Card to Hand"", ""Add Card""]",1,2,S.H.I.E.L.D.,Pool 2 (Collection Level 222-486),635,[],#ffffff,#ffe084,#ffffff,Series2,"[{""Data"": ""Series2"", ""StartDate"": -62135596800}]",,,0.5048500223847187,0.0338755409640352,0.0463612007592109,0.0501704859037265,0.0483504140210166,0.0531870472054617,0.0095138306789606,0.0481722439883541,6766.0,6636.0,20834.0,20380.0,56.0,0.5007020007020007,0.0169357669357669,https://static.marvelsnap.pro/cards/Agent13.webp
6,agentcoulson,AgentCoulson,Agent Coulson,On Reveal: Add a random 4-Cost and 5-Cost card to your hand.,"[""On Reveal"", ""Add Card to Hand"", ""Add Card""]",3,4,,Pool 3 (Collection Level 486-?),440,[],#3030ff,#ffffff,#3131ff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5178985829259862,0.0918876215869254,0.0718715097196812,0.0738192622609984,0.0701700642382384,0.0740521327014218,0.0389983235540653,0.0727975270479134,10489.0,9764.0,30236.0,28375.0,26.0,0.513909224011713,0.0649341142020497,https://static.marvelsnap.pro/cards/AgentCoulson.webp
7,alioth,Alioth,Alioth,On Reveal: Destroy ALL enemy cards played here this turn. (including unrevealed cards),,6,5,,Pool 5 (Series 5),853,[],#8d00ff,#5900ff,#ff0004,Series5,"[{""Data"": ""Series5"", ""StartDate"": 1694487600}]",,18.17.3,0.5329055566040279,0.2368768703998274,0.1354382935569853,0.1309830723752353,0.1366199732650105,0.1307049502056496,0.1841156747694886,0.1333201538406239,19766.0,17325.0,58869.0,50083.0,9.0,0.5767659423293268,0.6205814435431346,https://static.marvelsnap.pro/cards/Alioth.webp
8,americachavez,AmericaChavez,America Chavez,Starts on the bottom of your deck. Draw this on turn 6.,"[""Draw Card On Round""]",6,9,Ultimates,Pool 1 (Collection Level 18-214),1860,[],#257cff,#ff3030,#257cff,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5425622229109677,0.2648465819509763,0.2758854605628302,0.2566436579999849,0.2891556199175671,0.2738741466062592,0.4118608549874265,0.2667373566730168,40263.0,33946.0,124596.0,104942.0,0.0,0.5284335098100279,0.1992525692930551,https://static.marvelsnap.pro/cards/AmericaChavez.webp
9,angel,Angel,Angel,"When one of your cards is destroyed, this flies out of your deck to replace it.","[""Destroy""]",1,2,Original X-Men,Pool 1 (Collection Level 18-214),131,[],#fffefe,#ff1919,#fffefe,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.4811715481171548,-0.0557880055788005,0.0023639690011717,0.0028124503851998,0.0026015558278563,0.0030299392446291,-0.0008382229673093,0.0025771898925272,345.0,372.0,1121.0,1161.0,224.0,0.4939209726443769,0.0243161094224924,https://static.marvelsnap.pro/cards/Angel.webp
10,angela,Angela,Angela,"After you play a card here, +2 Power.","[""Power On Card Play"", ""Increase Power""]",2,0,Asgardians,Pool 1 (Collection Level 18-214),1382,[],#ffb512,#ff620b,#ffb512,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5247234439557511,0.1745968279354924,0.1348832747480146,0.1348010493766491,0.1371885559392521,0.1371797816147149,0.1372590108968985,0.1348441824521045,19685.0,17830.0,59114.0,52564.0,8.0,0.5241737863434665,0.1730247036227565,https://static.marvelsnap.pro/cards/Angela.webp
11,antman,AntMan,Ant Man,"Ongoing: If you have 3 other cards here, +3 Power.","[""Ongoing"", ""Power On Card Count"", ""Increase Power""]",1,1,Avengers,Recruit Season,960,[],#ffffff,#ff465c,#ffffff,Recruit,"[{""Data"": ""Recruit"", ""StartDate"": -62135596800}]",,,0.507109375,0.0521875,0.0444768776423349,0.0476982512909298,0.0464079499461587,0.0504441823078689,0.0139983235540653,0.0460084109126199,6491.0,6309.0,19997.0,19329.0,58.0,0.5081041029915717,0.0760396406409187,https://static.marvelsnap.pro/cards/AntMan.webp
12,apocalypse,Apocalypse,Apocalypse,"When you discard this from your hand, put it back with +4 Power.","[""Power On Discard"", ""Increase Power"", ""Discard""]",6,8,X-Men Supervillains,Pool 1 (Collection Level 18-214),383,[],#2f5fff,#5d5c5e,#3060ff,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.557667731629393,0.3145367412140575,0.0239206254582331,0.0209346105285441,0.0243399799487579,0.0222326032945696,0.0412615255658005,0.0225009884619532,3491.0,2769.0,10488.0,8519.0,117.0,0.5586419753086421,0.3580246913580247,https://static.marvelsnap.pro/cards/Apocalypse.webp
13,armor,Armor,Armor,Ongoing: Cards at this location can't be destroyed.,"[""Ongoing"", ""Destroy""]",2,3,Mutants,Pool 1 (Collection Level 18-214),1473,[],#ff3131,#ff5757,#ff3131,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5413276928083306,0.2342783924503742,0.1823750693773511,0.1705010244274924,0.1830720173777431,0.1758095496586425,0.2413872590108969,0.1767298084181014,26616.0,22552.0,78885.0,67366.0,1.0,0.5432585376840564,0.2503730397815253,https://static.marvelsnap.pro/cards/Armor.webp
14,arnimzola,ArnimZola,Arnim Zola,On Reveal: Destroy a random friendly card here. Add copies of it to the other locations.,"[""On Reveal"", ""Destroy"", ""Add Card At Location"", ""Duplicate Card"", ""Add Card""]",6,0,HYDRA,Pool 3 (Collection Level 486-?),420,[],#891eff,#aea7ff,#ffb432,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5013606676342526,0.1375181422351233,0.0378714686071768,0.0415592466866764,0.0405503880286658,0.0416440486878092,0.0317686504610226,0.0396247438984939,5527.0,5497.0,17473.0,15957.0,75.0,0.5591922005571031,0.4440575673166202,https://static.marvelsnap.pro/cards/ArnimZola.webp
15,attuma,Attuma,Attuma,"If you have another card here at the end of your turn, destroy this.","[""Destroy""]",4,10,,Pool 3 (Collection Level 486-?),49,[],#ffd422,#19b8ff,#8ff9ff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4771604938271605,-0.1018518518518518,0.0052966609794368,0.0064036168716781,0.00534699788348,0.0064435142075704,-0.0034576697401508,0.0058229395061284,773.0,847.0,2304.0,2469.0,206.0,0.4884696016771489,-0.0775681341719077,https://static.marvelsnap.pro/cards/Attuma.webp
16,baronmordo,BaronMordo,Baron Mordo,On Reveal: Your opponent draws a card. Set its Cost to 6.,"[""On Reveal"", ""Card Draw"", ""Increase Cost""]",2,3,Masters of Mysticism,Pool 3 (Collection Level 486-?),38,[],#1cff2b,#ffdc34,#1dff2c,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4573055028462998,-0.2182163187855788,0.0016513522587895,0.0021622602423848,0.0016082767071404,0.0021086915673215,-0.0024098910310142,0.001894252543043,241.0,286.0,693.0,808.0,231.0,0.4323671497584541,-0.3840579710144928,https://static.marvelsnap.pro/cards/BaronMordo.webp
17,bast,Bast,Bast,On Reveal: Set the Power of all cards in your hand to 3.,"[""On Reveal""]",1,1,,Pool 3 (Collection Level 486-?),255,[],#ffa222,#ff1912,#18ff09,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4925209777453484,0.0972272893104706,0.0185006269656916,0.0210328950850161,0.0194873008800267,0.0205232060463077,0.0111693210393964,0.0197045397361705,2700.0,2782.0,8397.0,7864.0,130.0,0.5033615267837779,0.1342441986553892,https://static.marvelsnap.pro/cards/Bast.webp
18,beast,Beast,Beast,On Reveal: Return your other cards at this location to your hand. They cost 1 less.,"[""On Reveal"", ""Return To Hand"", ""Decrease Cost""]",3,4,Original X-Men,Pool 3 (Collection Level 486-?),151,[],#0a5cff,#1016ff,#0a5cff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4850400337126001,-0.1142014327855035,0.0078867487546337,0.0092387483083715,0.0075981211243548,0.0092516232749441,-0.0056789606035205,0.0085295280543474,1151.0,1222.0,3274.0,3545.0,186.0,0.494299674267101,-0.0855048859934853,https://static.marvelsnap.pro/cards/Beast.webp
19,bishop,Bishop,Bishop,"After you play a card, this gains +1 Power.","[""Power On Card Play"", ""Increase Power""]",3,1,From The Future,Pool 1 (Collection Level 18-214),585,[],#ffce0b,#ff0d0c,#1e40ff,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5170851425335096,0.1917122899754578,0.0375357164881698,0.0386787531469959,0.040787104080799,0.0405662150030273,0.0425607711651299,0.0380791488443981,5478.0,5116.0,17575.0,15544.0,77.0,0.5250317955833045,0.2379465834200485,https://static.marvelsnap.pro/cards/Bishop.webp
20,blackbolt,BlackBolt,Black Bolt,On Reveal: Discard the lowest-cost card from your opponent's hand.,"[""On Reveal"", ""Discard""]",5,7,Inhumans,Pool 3 (Collection Level 486-?),65,[],#0342ff,#f0f1ff,#1851ff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4888361045130642,0.0038004750593824,0.0070507944991469,0.0081349371356856,0.0071571794586164,0.0080276426498528,0.0001676445934618,0.0075662269508644,1029.0,1076.0,3084.0,3076.0,194.0,0.5168539325842697,0.0942091616248919,https://static.marvelsnap.pro/cards/BlackBolt.webp
21,blackcat,BlackCat,Black Cat,"If you end the turn with this in your hand, discard it.","[""Discard""]",4,9,,Pool 3 (Collection Level 486-?),125,[],#000082,#ffffff,#ffffff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,Sept 15th OTA,0.492963103841765,-0.00646633701027,0.0088803009435319,0.0100779472136328,0.0085728342801975,0.0096848445622899,-0.0003562447611064,0.0094496962725998,1296.0,1333.0,3694.0,3711.0,182.0,0.5595126522961574,0.3814432989690721,https://static.marvelsnap.pro/cards/BlackCat.webp
22,blackpanther,BlackPanther,Black Panther,On Reveal: Double this card's Power.,"[""On Reveal"", ""Increase Power"", ""Double Power""]",5,4,,Pool 3 (Collection Level 486-?),189,[],#5010b0,#7932ff,#7418ff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.527396037836873,0.2864536855256113,0.0202479084013402,0.0200198081183043,0.022304686049534,0.0208937929306637,0.0336336965632858,0.0201394629955788,2955.0,2648.0,9611.0,8006.0,126.0,0.5526001195457262,0.4205020920502092,https://static.marvelsnap.pro/cards/BlackPanther.webp
23,blackwidow,BlackWidow,Black Widow,On Reveal: Add a Widow's Bite to your opponent's hand.,"[""On Reveal"", ""Add Card to Hand"", ""Add Card""]",2,1,Assassins,Pool 3 (Collection Level 486-?),169,"[""WidowsBite""]",#440404,#ff0009,#55eeff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4911894273127753,-0.0346916299559471,0.0122241179654792,0.0139715277200251,0.0114552003267609,0.0132106394972545,-0.0026404023470243,0.0130548865964559,1784.0,1848.0,4936.0,5062.0,162.0,0.4874336283185841,-0.0725663716814159,https://static.marvelsnap.pro/cards/BlackWidow.webp
24,blade,Blade,Blade,On Reveal: Discard the rightmost card from your hand.,"[""On Reveal"", ""Discard""]",1,3,Vampires,Pool 1 (Collection Level 18-214),463,[],#682800,#010101,#ff0000,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,19.18.3,0.4955512572533849,-0.0488716956802063,0.0263325590478344,0.0295760911475856,0.0258415023578775,0.030048854834332,-0.0079421626152556,0.0278746270802631,3843.0,3912.0,11135.0,11514.0,100.0,0.5033489618218352,-0.0254521098459477,https://static.marvelsnap.pro/cards/Blade.webp
25,bluemarvel,BlueMarvel,Blue Marvel,Ongoing: Your other cards have +1 Power.,"[""Ongoing"", ""Increase Power""]",5,3,Ultimates,Recruit Season,885,[],#3b5bff,#dad7e9,#5562ff,Recruit,"[{""Data"": ""Recruit"", ""StartDate"": -62135596800}]",,,0.534009789924536,0.2264939832755456,0.0717618763746993,0.0690940431998427,0.0744355946678548,0.0721130759755308,0.0930846605196982,0.0704935120951799,10473.0,9139.0,32074.0,27632.0,28.0,0.553615520282187,0.3382716049382716,https://static.marvelsnap.pro/cards/BlueMarvel.webp
26,brood,Brood,Brood,On Reveal: Add 2 Broodlings to this location with the same Power.,"[""On Reveal"", ""Add Card At Location"", ""Add Card""]",3,2,Cosmic Beings,Pool 3 (Collection Level 486-?),376,"[""Broodling""]",#ff4b3d,#ff653d,#88ff72,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5626570119698537,0.3606472587557264,0.0521786201273117,0.0447497145967687,0.0530568861163714,0.046926216673278,0.1022841575859178,0.0486467057258905,7615.0,5919.0,22862.0,17981.0,55.0,0.5766596657839467,0.4478129851155145,https://static.marvelsnap.pro/cards/Brood.webp
27,buckybarnes,BuckyBarnes,Bucky Barnes,"When this is destroyed, replace it with the Winter Soldier.","[""Destroy"", ""Add Card At Location"", ""Add Card""]",2,1,Assassins,Pool 2 (Collection Level 222-486),460,"[""WinterSoldier""]",#ffffff,#ff312f,#ff3f3f,Series2,"[{""Data"": ""Series2"", ""StartDate"": -62135596800}]",,,0.5135107153949684,0.0779583807847603,0.0339863369443816,0.0355260869893928,0.0362848575990494,0.0388385493872267,0.0157795473595976,0.0347183782035153,4960.0,4699.0,15635.0,14882.0,86.0,0.513298878104122,0.0911382831211395,https://static.marvelsnap.pro/cards/BuckyBarnes.webp
28,cable,Cable,Cable,On Reveal: Draw the top card of your opponent's deck.,"[""On Reveal"", ""Add Card to Hand"", ""Add Card""]",2,2,X-Force,Pool 1 (Collection Level 18-214),575,[],#fffdfd,#568eff,#ffff00,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,18.17.3,0.4938562283864322,-0.060407622691487,0.045991188219897,0.0520076510747038,0.0465727228844083,0.0545154185022026,-0.0172045264040234,0.0488515869307357,6712.0,6879.0,20068.0,20889.0,54.0,0.4838583063487391,-0.1138259248356392,https://static.marvelsnap.pro/cards/Cable.webp
29,captainamerica,CaptainAmerica,Captain America,Ongoing: Your other cards at this location have +1 Power.,"[""Ongoing"", ""Increase Power""]",3,3,Avengers,Pool 1 (Collection Level 18-214),381,[],#4d7aff,#ff0000,#ffffff,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5007846214201648,0.0209886229894076,0.0174933706086706,0.0192410920170259,0.0195476402658646,0.0217028206359479,0.0022422464375523,0.0183242874087919,2553.0,2545.0,8423.0,8316.0,135.0,0.4985738733599544,0.0208214489446662,https://static.marvelsnap.pro/cards/CaptainAmerica.webp
